model_id,date_id,gearbox_id,features_id,km,price
1,1,1,1,17860,12799
2,2,2,2,50065,12799
3,3,2,3,14456,12799
4,4,2,4,31658,12799
5,5,1,3,13344,12799
6,2,1,5,29813,12799
7,3,2,6,69947,12799
8,2,2,7,161205,12799
9,4,1,8,14031,12799
10,3,2,9,49025,12799
11,3,1,4,34134,12799
12,1,2,10,68813,12799
13,2,2,3,56792,12799
14,5,1,11,15267,12799
15,3,2,6,24655,12799
16,3,1,12,19403,12799
17,5,2,4,11650,12799
18,2,2,13,38550,12799
19,5,1,14,18242,12799
20,3,1,4,34020,12799
21,3,2,15,13272,12799
22,5,2,3,26549,12799
23,4,2,4,9936,12799
24,5,2,3,15462,12799
25,4,1,5,29220,12799
21,3,2,15,26655,12799
26,4,2,16,11000,12799
27,5,1,14,11497,12799
28,3,2,10,23145,12799
29,1,1,5,81305,12799
30,4,2,17,41411,24299
31,5,1,3,17663,24299
23,5,2,7,14920,24299
32,3,2,7,33796,24299
33,2,2,7,40367,24299
34,4,1,4,11103,24299
35,5,2,6,6566,24299
10,2,2,9,29902,24299
36,5,1,4,11800,24299
37,3,2,3,33205,24299
38,2,1,18,52427,24299
39,3,2,14,31109,24299
40,3,1,4,38779,24299
41,3,1,13,33803,24299
42,3,2,6,42923,24299
43,4,2,4,37774,24299
44,3,1,5,44304,24299
45,5,1,3,5645,24299
46,3,1,6,44853,24299
31,5,1,3,12517,24299
47,1,2,7,56510,24299
48,4,2,3,28631,24299
49,2,2,6,29252,24299
50,5,2,3,7826,24299
51,2,1,4,37270,24299
52,5,1,3,4760,24299
53,4,1,11,37700,24299
54,1,2,15,14000,24299
21,3,2,15,14197,24299
53,5,1,11,15043,24299
55,3,2,19,11433,17499
56,5,2,3,18252,17499
57,5,1,3,4635,17499
58,5,1,3,7730,17499
59,3,1,2,25362,17499
60,2,2,4,54657,17499
61,3,1,4,58476,17499
31,5,1,3,5412,17499
55,3,2,19,14925,17499
62,3,2,7,15990,17499
63,4,1,8,18980,17499
64,3,2,10,18176,17499
10,5,2,20,8552,17499
65,2,1,7,26365,17499
66,2,1,21,46129,17499
67,6,1,22,62000,17499
29,1,1,5,76026,17499
68,5,2,3,16358,17499
69,4,2,3,42814,17499
70,3,1,12,26742,17499
10,5,2,20,1,17499
71,3,2,3,49796,17499
72,2,1,14,51556,17499
73,2,2,2,72400,17499
74,5,1,14,4995,17499
53,3,1,11,27255,17499
40,3,1,5,20410,17499
59,2,1,2,61673,17499
75,3,1,10,45303,17499
76,5,1,4,5,17499
77,3,1,10,32919,21499
78,5,1,3,29862,21499
39,4,2,14,31876,21499
79,4,2,11,33700,21499
80,3,1,6,29404,21499
81,3,2,18,20067,21499
82,3,1,14,25204,21499
61,3,1,23,58103,21499
83,2,2,6,19133,21499
84,5,1,3,5614,21499
85,3,1,11,14244,21499
86,2,1,12,55679,21499
87,4,2,3,27365,21499
88,3,2,4,31250,21499
89,2,1,2,45763,21499
73,2,2,2,57646,21499
90,3,2,3,43164,21499
91,2,2,4,47855,21499
92,3,2,3,43370,21499
44,3,1,5,44929,21499
93,7,2,2,64336,21499
94,2,2,3,39377,21499
95,4,1,6,17434,21499
96,4,2,4,48152,21499
97,3,1,3,21364,21499
98,2,2,13,19517,21499
99,2,2,5,57698,21499
100,3,1,24,27336,21499
101,4,2,4,18758,21499
102,4,2,3,7357,21499
58,4,1,3,15937,19980
103,3,1,14,41757,19980
104,3,1,16,39295,19980
70,2,1,12,31476,19980
105,5,2,6,5427,19980
106,3,1,5,49288,19980
107,5,2,20,20869,19980
108,7,1,2,68335,19980
45,5,1,3,4759,19980
20,3,1,4,31859,19980
109,4,1,3,38566,19980
109,4,1,3,34658,19980
